T,D,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,H_corrected
19979,42,0.53,2.21,1.58,0.03,0.06,0.91,0.01,0.46,-0.22,-2.05,3.49,-82.11,-164.22
20036,37,-0.95,-2.94,2.12,,0.06,0.91,0,0.46,-0.22,-4.1,1.78,-81.77,-163.54
20163,42,-7.27,10.5,2.81,0,0.1,0.89, ,0.46,-0.22,0.18,6.7,-82.18,-164.36
20293,41,-3.33,1.67,-0.05,0.05,0.08,0.94,0.01,0.45,-0.22,-2.81,5.06,-82.57,-165.14
20349,48,4.51,0.67,2.84,0.04,0.06,0.96,0,0.46,-0.21,-2.39,3.45,-81.39,-162.78
20407,50,3.51,-2.66,1.6,0.03,0.08,1,0,0.47,-0.21,-1.63,4.34,-81.67,-163.34
20463,45,3.51,-2.66,1.6,0.01,0.05,0.99,-0.01,0.47,-0.22,-0.86,2.69,-80.5,-161
20520,42,-4.4,-4.53,-0.09,0.04,0.08,0.96,0,0.47,-0.21,-2.09,4.82,-81.15,-162.3
20577,50,-4.03,-7.84,-0.25,0.02,0.06,0.99,-0.01,0.47,-0.21,-0.98,3.7,-80.32,-160.64
20634,56,-7.32,-6.85,-3.5,0.03,0.09,1.01,-0.01,0.46,-0.21,-1.42,5.02,-79.76,-159.52
20690,53,-3.36,-3.45,-2.76,0.04,0.07,0.96,-0.01,0.46,-0.21,-2.33,4.03,-79.61,-159.22
20748,54,7.47,-1.72,3.96,0.01,0.09,0.98,-0.01,0.46,-0.21,-0.37,5,-80.16,-160.32
20805,64,14.19,-6.67,3.29,-0.01,0.05,0.97,-0.01,0.48,-0.2,0.46,2.7,-79.7,-159.4
20861,65,12.37,-10.86,3.34,-0.01,0.04,0.98,-0.02,0.48,-0.19,0.62,2.55,-79.03,-158.06
20919,70,6.9,-4.22,0.9,-0.05,0.03,0.96,-0.02,0.49,-0.2,3.04,1.98,-79.4,-158.8
20975,77,-0.21,-3.75,-2.7,0,0.03,0.99,-0.02,0.49,-0.2,-0.26,1.92,-78.68,-157.36
21033,84,-0.25,-4.26,0.07, -,0.03,0.99,-0.03,0.49,-0.19,0.02,2.74,-78,-156
21163,97,5.2,3.09,6.55,0,-0.02,1,-0.03,0.51,-0.2,-0.1,-0.94,-78.02,-156.04
21293,107,2.42,-0.04,7.06,-0.07,0.01,0.98,-0.03,0.51,-0.21,4.01,0.67,-78.07,-156.14
21350,128,0.46,4.26,4.23,-0.03,0.03,1.02,-0.03,0.51,-0.2,1.69,1.5,-78.24,-156.48
21406,134,-2.72,0.63,0.82,-0.05,0.01,0.99,-0.03,0.52,-0.2,3.03,0.81,-78.31,-156.62
21464,141,-4.99,1.76,0.02,-0.05,0.01,0.97,-0.03,0.52,-0.2,2.74,0.68,-78.52,-157.04
21520,156,-5.63,3.21,-1.4,-0.04,0.01,0.94,-0.02,0.51,-0.19,2.27,0.61,-78.85,-157.7
21577,168,-2.42,3.26,2.11,-0.01,0.01,0.96,-0.02,0.51,-0.2,0.79,0.43,-78.89,-157.78
21635,179,0.52,-0.42,2.04,-0.03,0.02,0.96,-0.02,0.51,-0.2,1.87,1.47,-78.8,-157.6
21691,187,4.3,5.82,2.07,0,0.01,0.98,-0.02,0.51,-0.2,-0.16,0.86,-78.91,-157.82
21748,200,3.27,1.12,0.88,-0.01,0.02,1,-0.02,0.51,-0.2,0.46,0.92,-79.01,-158.02
21805,210,3.27,1.12,0.88,0.01,0.01,0.98,-0.02,0.51,-0.2,-0.31,0.68,-79.39,-158.78
21862,222,-0.27,-2.39,-1.95,0,-0.02,0.97,-0.02,0.52,-0.2,0.21,-1.4,-79.6,-159.2
21919,241,-1.41,-4.21,-0.69,-0.02,-0.01,0.96,-0.02,0.52,-0.2,1.15,-0.81,-78.87,-157.74
21976,248,-4.72,-0.49,-1.58,0,0,0.98,-0.02,0.52,-0.2,0.14,0.24,-79.4,-158.8
22033,266,-2.79,-2.41,-2.98,-0.06,-0.01,0.98,-0.02,0.52,-0.19,3.31,-0.36,-79.33,-158.66
22133,267,0.19,0.66,-1.29,-0.03,0,0.96,0,0.52,-0.19,2.07,0.27,-80.13,-160.26
22261,292,-1.12,4.87,1.65,-0.02,0.02,0.94,-0.02,0.53,-0.2,0.96,1.22,-79.67,-159.34
22347,328,-4,2.19,2.28,-0.01,0.01,0.97,-0.01,0.52,-0.2,0.41,0.81,-79.9,-159.8
22405,348, ,2.19,2.28,-0.02,0.03,1.01,-0.02,0.52,-0.2,1.13,1.42,-79.34,-158.68
22462,359,-5.5,-4.45,0.88,-0.02,0.01,0.97,-0.01,0.52,-0.2,0.9,0.56,-79.78,-159.56
22518,378,-3.17,-0.4,0.69,-0.02,0.01,1,-0.02,0.52,-0.2,1.33,0.56,-79.29,-158.58
22576,376,-4.02,-0.25,0.71,0.01,0,0.99,-0.02,0.52,-0.2,-0.58,-0.05,-79.47,-158.94
22632,395,0.73,-4.66,-1.09,-0.04,0.03,1.03,-0.02,0.52,-0.2,1.95,1.79,-79.71,-159.42
22689,396,-0.62,-6.69,-8.1,-0.04,0.01,0.98,-0.02,0.52,-0.19,2.43,0.52,-79.1,-158.2
22747,436,0.56,-8.04,-6.69,-0.06,0,0.93,-0.02,0.52,-0.19,3.54,-0.28,-78.83,-157.66
22803,453,-3.54,0,-11.86,-0.09,0.01,0.96,-0.03,0.52,-0.19,5.11,0.75,-78.07,-156.14
22860,465,-1.91,-0.52,-4.65,-0.02,0.04,0.91,-0.03,0.52,-0.19,1.22,2.69,-78.07,-156.14
22917,452,-2.73,-1.3,-5.02,-0.06,0.02,0.94,-0.03,0.52,-0.19,3.43,1.07,-78.21,-156.42
22974,489,-0.72,3.68,2.8,0,0.03,0.91,-0.02,0.52,-0.19,-0.03,1.59,-78.7,-157.4
23031,501,0.45,-0.17,4.6,-0.05,0.02,0.95,-0.02,0.52,-0.19,3.26,1.23,-78.85,-157.7
23089,517,0.45,-0.17,4.6,-0.04,-0.04,0.96,-0.03,0.52,-0.19,2.15,-2.23,-78.35,-156.7
 ,517,-7.72,5.34,-3.16,-0.01,0.02,0.95,-0.03,,-0.19,0.71,1.44,-78.41,-156.82
23347,578,-12.64,4.05,-4.45,,0.02,0.95,-0.01,0.51,-0.19,3.7,2.41,-79.88,-159.76
23478,571,5.21,-5.66,1.13,-0.05,0.05,0.98,-0.02,0.51,-0.18,2.66,2.82,-79.18,-158.36
,586,12.61,6.22,6.72,-0.04,0.04,0.98,-0.02,0.52,-0.19,2.2,2.56,-78.84,-157.68
23618,611,17.53,8.02,10.75,-0.02,0.05,0.98,-0.02,0.52,-0.19,1.1,2.84,-79.27,-158.54
23674,646,12.85,2.29,11.02,-0.03,0,0.97,-0.02,0.54,-0.19,1.57,0.24,-79.24,-158.48
23732,654,6.05,6.01,14.39,-0.03,0.01,0.98,-0.03,0.55,-0.19,1.56,0.37,-78.82,-157.64
23789,673,-4.65,7.74,10.74,-0.01,0.01,0.95,-0.02,0.55,-0.19,0.79,0.8,-79.15,-158.3
