T,D,L,Ly,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,
75360,793,,,-0.45,1.59,0.42,0,0.1,0.9,0.19,0.05,-0.61,6.13,-0.13,-315.85,
75416,793,,,-1.86,1.61,0.12,-0.09,0.07,0.99,0.2,0.04,-0.61,4.12,5.21,-319.72,
75547,793,,,-3.3,-4.17,0.88,-0.1,0.08,0.94,0.2,0.04,-0.61,4.82,5.9,-319.61,
75604,793,,,-4.09,-3.72,0.81,-0.08,0.08,0.87,0.19,0.03,-0.61,5.43,5.04,-323.82,
75661,793,,,-1.28,1.7,0.03,-0.08,0.06,0.98,0.19,0.03,-0.61,3.36,4.78,-322.8,
75718,793,,,-1.16,0.15,0.33,-0.09,0.07,0.96,0.19,0.03,-0.61,4.04,5.39,-323.98,
75776,793,,,-1.41,-0.45,0.42,-0.1,0.07,0.96,0.19,0.04,-0.61,4.26,5.78,-321.93,
75832,793,,,-1.18,0.24,0.19,-0.09,0.07,0.97,0.19,0.04,-0.61,4.07,5.27,-321.38,
75889,793,,,-1.22,0.55,0.19,-0.09,0.07,0.96,0.19,0.04,-0.61,4.06,5.33,-321.59,
75945,793,,,-1.05,0.19,0.34,-0.09,0.07,0.97,0.19,0.03,-0.61,4.12,5.31,-323.68,
76003,793,,,-1.08,0.45,0.27,-0.09,0.07,0.96,0.2,0.03,-0.61,4.25,5.22,-323.81,
76060,793,,,-1.08,0.45,0.27,-0.09,0.07,0.96,0.19,0.03,-0.61,4.31,5.38,-322.59,
76116,793,,,-1.39,0.73,0.09,-0.09,0.07,0.96,0.19,0.03,-0.61,4.29,5.37,-323.18,
76174,793,,,-1.43,0.35,0.17,-0.09,0.08,0.95,0.19,0.03,-0.61,4.73,5.57,-323.05,
76230,793,,,-1.17,0.71,0.26,-0.09,0.07,0.96,0.2,0.03,-0.61,4.13,5.3,-325.67,
76288,793,,,-1.35,0.66,0.31,-0.09,0.07,0.96,0.19,0.03,-0.61,4.24,5.31,-322.8,
76344,793,,,-1.11,0.67,0.29,-0.09,0.07,0.97,0.19,0.03,-0.61,4.13,5.2,-322.69,
76401,793,,,,0.67,0.29,-0.09,0.07,0.96,0.2,0.04,-0.61,4,5.29,-321.69,
76531,793,,,-1.15,0.7,0.18,-0.09,0.07,0.96,0.19,0.04,-0.6,4.14,5.33,-321.3,
76614,793,,,-1.29,0.41,0.32,-0.09,0.07,0.96,0.19,0.04,-0.61,4.22,5.44,-322.02,
76670,793,,,-1.33,0.63,0.31,-0.09,0.07,0.96,0.19,0.03,-0.61,4.16,5.36,-322.64,
76728,793,,,-1.07,0.6,0.32,-0.09,0.07,0.96,0.19,0.03,-0.61,4.17,5.44,-323.82,
76784,793,,,-1.24,0.59,0.25,-0.09,0.07,0.96,0.19,0.03,-0.61,4.18,5.35,-322.29,
76841,793,,,-1.09,0.51,0.31,-0.09,0.07,0.96,0.19,0.03,-0.61,4.17,5.37,-323.57,
76899,793,,,-1.15,0.7,0.27,-0.09,0.07,0.96,0.19,0.04,-0.6,4.19,5.31,-321.62,
76955,793,,,-1.09,0.55,0.24,-0.09,0.07,0.96,0.19,0.03,-0.61,4.19,5.33,-325.33,
77012,793,,,-1.27,0.6,0.39,-0.09,0.07,0.96,0.19,0.03,-0.61,4.07,5.41,-324.53,
77069,793,,,-1.23,0.63,0.17,-0.09,0.07,0.96,0.19,0.04,-0.61,4.18,5.54,-321.57,
77126,793,,,-1.17,0.47,0.31,-0.09,0.07,0.96,0.19,0.04,-0.6,4.19,5.23,-322.32,
77184,793,,,-1.01,0.66,0.43,-0.09,0.07,0.96,0.19,0.03,-0.6,4.2,5.36,-324.54,
77240,793,,,-1.27,0.69,0.3,-0.09,0.07,0.96,0.2,0.03,-0.6,4.32,5.35,-323.65,
77297,793,,,-1.29,0.66,0.28,-0.09,0.07,0.96,0.19,0.03,-0.61,4.22,5.45,-322.71,
77353,793,,,-1.29,0.69,0.37,-0.09,0.07,0.96,0.19,0.04,-0.6,4.14,5.35,-320.98,
77411,793,,,-1.21,0.5,0.36,-0.09,0.07,0.96,0,0.04,-0.6,4.12,5.32,-322.62,
77541,793,,,-1.18,0.57,0.34,-0.09,0.07,0.96,0.19,0.04,-0.61,4.11,5.33,-318.64,
77658,793,,,-1.19,0.63,0.27,-0.09,0.07,0.96,0.19,0.04,-0.6,4.3,5.44,-322.08,
77715,793,,,-1.14,0.71,0.36,-0.09,0.07,0.96,0.19,0.03,-0.61,4.2,5.32,-324.14,
77771,793,,,-1.15,0.45,0.32,-0.09,0.07,0.96,0.2,0.03,-0.61,4.22,5.52,-323.13,
77829,793,,,-1.31,0.74,0.13,-0.09,0.07,0.96,0.19,0.03,-0.6,4.28,5.32,-324.82,
77885,793,,,-0.95,0.52,0.16,-0.09,0.07,0.96,0.2,0.03,-0.6,4.11,5.6,-325.55,
77942,793,GPGGA,1040.799,-1.35,0.51,0.26,-0.09,0.07,0.97,0.19,0.03,-0.6,4.1,5.21,-324.19,*7A
78004,793,,,-1.08,0.57,0,-0.09,0.07,0.96,0.19,0.03,-0.6,4.21,5.34,-323.19,*7A
78061,793,,,-1.09,0.42,0.31,-0.09,0.07,0.96,0.19,0.04,-0.6,4.2,5.29,-320.99,*7A
78117,793,,,-1.14,0.51,0.18,-0.09,0.07,0.96,0.19,0.03,-0.61,4.22,5.42,-323.14,*7A
78175,793,,,-0.92,0.6,0.23,-0.09,0.07,0.96,0.19,0.03,-0.61,4.11,5.22,-323.69,*7A
78231,793,,,-1.08,0.6,0.25,-0.09,0.07,0.96,0.19,0.04,-0.61,4.22,5.54,-321.76,*7A
78288,793,,,-1.09,0.55,0.17,-0.09,0.07,0.96,0.2,0.04,-0.61,4.1,5.46,-322.45,*7A
78346,793,,,-1.07,0.59,0.35,-0.09,0.07,0.96,0.19,0.04,-0.61,4.03,5.41,-320.32,*7A
78403,793,,,-1.07,0.59,0.35,-0.09,0.07,0.96,0.19,0.03,-0.61,,5.3,-322.14,*7A
78532,793,,,-1.05,0.5,0.31,-0.09,0.07,0.96,0.19,0.03,-0.61,4.17,5.43,-323.1,*7A
78532,793,,,-1.05,0.69,0.33,-0.09,0.07,0.96,0.19,0.03,-0.61,4.24,5.31,-321.97,*7A
78657,793,,,-1,0.69,0.33,-0.09,0.07,0.96,0.19,0.04,-0.6,4.21,5.39,-321.04,*7A
78714,793,,,-1.27,0.54,0.36,-0.09,0.07,0.96,0.19,0.03,-0.61,4.13,5.24,-322.89,*7A
78771,793,,,-1.23,0.5,0.24,-0.09,0.07,0.96,0.19,0.03,-0.61,4.2,5.4,-322.04,*7A
78828,793,,,-1.18,0.6,0.22,-0.09,0.07,0.96,0.19,0.03,-0.61,4.15,5.4,-322.4,*7A
78885,793,,,-1.13,0.43,0.14,-0.09,0.07,0.96,0.19,0.04,-0.61,4.26,5.41,-321.63,*7A
,793,,,-1.31,0.46,0.24,-0.09,0.07,0.96,0.19,0.04,-0.61,4.26,5.54,-321.51,*7A
78999,793,,,-1.21,0.52,0.23,-0.09,0.07,0.96,0.19,0.03,-0.61,4.28,5.36,-323.71,*7A
79055,793,,,-1.43,0.63,0.19,-0.09,0.07,0.96,0.19,0.04,-0.61,4.13,5.42,-320.57,*7A
79113,793,,,-1.28,0.7,0.17,-0.09,0.07,0.96,0.19,0.04,-0.61,4.45,5.29,-320.9,*7A
79169,793,,,-1.3,0.6,0.25,-0.09,0.07,0.96,0.19,0.04,-0.61,4.1,5.46,-321.39,*7A
79226,793,,,-1.08,0.73,0.42,-0.09,0.07,0.96,0.19,0.03,-0.61,4.2,5.21,-323.75,*7A
79284,793,,,-1.18,0.65,0.2,-0.09,0.07,0.96,0.19,0.03,-0.62,4.28,5.59,-325.49,*7A
79340,793,,,-1.18,0.52,0.21,-0.09,0.07,0.96,0.19,0.04,-0.61,4.18,5.29,-321.32,*7A
79,793,,,-1.15,0.55,0.37,-0.09,0.07,0.96,0.19,0.04,-0.61,,5.44,-321.05,*7A
79526,793,,,-0.93,0.51,0.2,-0.09,0.07,0.97,0.19,0.04,-0.61,4.22,5.24,-321.47,*7A
79600,793,,,-1.25,0.46,0.28,-0.09,0.07,0.96,0.19,0.04,-0.61,4.29,5.35,-321.22,*7A
79657,793,,,-1.17,0.53,0.16,-0.09,0.07,0.96,0.2,0.04,-0.61,4.23,5.45,-321.99,*7A
79715,793,,,-1.07,0.71,0.3,-0.09,0.07,0.96,0.19,0.03,-0.61,4.3,5.39,-323.54,*7A
79771,793,,,-1.19,0.66,0.28,-0.09,0.07,0.96,0.19,0.04,-0.61,4.18,5.31,-321.55,*7A
79828,793,,,-1.01,0.65,0.25,-0.09,0.07,0.96,0.19,0.04,-0.61,4.27,5.41,-320.53,*7A
79885,793,,,-1.13,0.65,0.12,-0.09,0.07,0.96,0.19,0.04,-0.61,4.2,5.27,-321.3,*7A
79942,793,,,-1.09,0.71,0.28,-0.09,0.07,0.96,0.19,0.04,-0.6,4.15,5.4,-319.58,*7A
80000,793,,,-1.27,0.52,0.19,-0.09,0.07,0.96,0.19,0.04,-0.61,4.2,5.38,-319.47,*7A
80056,793,,,-1.15,0.67,0.3,-0.09,0.07,0.96,0.19,0.03,-0.61,4.2,5.41,-324.44,*7A
80113,793,,,,0.67,0.3,-0.09,0.07,0.96,0.19,0.04,-0.61,4.4,5.27,-320.57,*7A
80169,793,,,-1.01,0.67,0.35,-0.09,0.07,0.96,0.19,0.04,-0.61,4.11,5.24,-321.29,*7A
80227,793,,,-1.01,0.49,0.38,-0.09,0.07,0.96,0.19,0.04,-0.61,4.2,5.3,-320.59,*7A
80283,793,,,-0.98,0.59,0.36,-0.09,0.07,0.96,0.19,0.04,-0.61,4.26,5.27,-321.38,*7A
80340,793,,,-0.94,0.83,0.33,-0.09,0.07,0.96,0.19,0.03,-0.61,4.23,5.47,-322.86,*7A
80398,793,,,-0.74,0.59,0.38,-0.09,0.07,0.9,0.19,0.04,-0.61,4.31,5.43,-317.84,*7A
80517,793,,,-0.88,0.66,0.37,-0.09,0.07,0.96,0.19,0.04,-0.6,4.15,5.43,-317.6,*7A
80616,793,GPGGA,190656.13,-1.05,0.52,0.23,-0.09,0.07,0.96,0.19,0.03,-0.6,4.08,5.29,-322.16,*7A
